Date,Time,Max
01/14/2023,01:00:00,57
01/14/2023,03:00:00,56
01/14/2023,05:00:00,55
01/14/2023,07:00:00,56
01/14/2023,09:00:00,55
01/14/2023,11:00:00,56
01/14/2023,01:00:00,57
01/14/2023,03:00:00,56
01/14/2023,05:00:00,55
01/14/2023,07:00:00,55
01/14/2023,09:00:00,56
01/14/2023,11:00:00,55
01/15/2023,01:00:00,57
01/15/2023,03:00:00,55
01/15/2023,05:00:00,55
01/15/2023,07:00:00,55
01/15/2023,09:00:00,56
01/15/2023,11:00:00,55
01/15/2023,01:00:00,56
01/15/2023,03:00:00,58
01/15/2023,05:00:00,56
01/15/2023,07:00:00,56
01/15/2023,09:00:00,56
01/15/2023,11:00:00,56
01/16/2023,01:00:00,56
01/16/2023,03:00:00,55
01/16/2023,05:00:00,56
01/16/2023,07:00:00,56
01/16/2023,09:00:00,61
01/16/2023,11:00:00,56
01/16/2023,01:00:00,56
01/16/2023,03:00:00,56
01/16/2023,05:00:00,56
01/16/2023,07:00:00,56
01/16/2023,09:00:00,56
01/16/2023,11:00:00,55
01/17/2023,01:00:00,56
01/17/2023,03:00:00,56
01/17/2023,05:00:00,55
01/17/2023,07:00:00,56
01/17/2023,09:00:00,56
01/17/2023,11:00:00,59
01/17/2023,01:00:00,56
01/17/2023,03:00:00,57
01/17/2023,05:00:00,56
01/17/2023,07:00:00,56
01/17/2023,09:00:00,57
01/17/2023,11:00:00,55
01/18/2023,01:00:00,56
01/18/2023,03:00:00,56
01/18/2023,05:00:00,55
01/18/2023,07:00:00,56
01/18/2023,09:00:00,56
01/18/2023,11:00:00,57
01/18/2023,01:00:00,58
01/18/2023,03:00:00,57
01/18/2023,05:00:00,56
01/18/2023,07:00:00,55
01/18/2023,09:00:00,61
01/18/2023,11:00:00,55
01/19/2023,01:00:00,56
01/19/2023,03:00:00,55
01/19/2023,05:00:00,55
01/19/2023,07:00:00,56
01/19/2023,09:00:00,56
01/19/2023,11:00:00,56
01/19/2023,01:00:00,57
01/19/2023,03:00:00,56
01/19/2023,05:00:00,56
01/19/2023,07:00:00,56
01/19/2023,09:00:00,56
01/19/2023,11:00:00,56
01/20/2023,01:00:00,58
01/20/2023,03:00:00,57
01/20/2023,05:00:00,57
01/20/2023,07:00:00,57
01/20/2023,09:00:00,57
01/20/2023,11:00:00,57
01/20/2023,01:00:00,57
01/20/2023,03:00:00,57
01/20/2023,05:00:00,56
01/20/2023,07:00:00,55
01/20/2023,09:00:00,57
01/20/2023,11:00:00,57
01/21/2023,01:00:00,57
01/21/2023,03:00:00,56
01/21/2023,05:00:00,56
01/21/2023,07:00:00,55
01/21/2023,09:00:00,59
01/21/2023,11:00:00,56
01/21/2023,01:00:00,56
01/21/2023,03:00:00,56
01/21/2023,05:00:00,56
01/21/2023,07:00:00,56
01/21/2023,09:00:00,56
01/21/2023,11:00:00,56
01/22/2023,01:00:00,57
01/22/2023,03:00:00,56
01/22/2023,05:00:00,56
01/22/2023,07:00:00,56
01/22/2023,09:00:00,56
01/22/2023,11:00:00,57
01/22/2023,01:00:00,56
01/22/2023,03:00:00,57
01/22/2023,05:00:00,56
01/22/2023,07:00:00,56
01/22/2023,09:00:00,56
01/22/2023,11:00:00,56
01/23/2023,01:00:00,56
01/23/2023,03:00:00,55
01/23/2023,05:00:00,56
01/23/2023,07:00:00,56
01/23/2023,09:00:00,57
01/23/2023,11:00:00,58
01/23/2023,01:00:00,57
01/23/2023,03:00:00,60
01/23/2023,05:00:00,56
01/23/2023,07:00:00,56
01/23/2023,09:00:00,56
01/23/2023,11:00:00,55
01/24/2023,01:00:00,57
01/24/2023,03:00:00,60
01/24/2023,05:00:00,55
01/24/2023,07:00:00,56
01/24/2023,09:00:00,56
01/24/2023,11:00:00,56
01/24/2023,01:00:00,59
01/24/2023,03:00:00,56
01/24/2023,05:00:00,56
01/24/2023,07:00:00,57
01/24/2023,09:00:00,56
01/24/2023,11:00:00,57
01/25/2023,01:00:00,57
01/25/2023,03:00:00,55
01/25/2023,05:00:00,56
01/25/2023,07:00:00,56
01/25/2023,09:00:00,57
01/25/2023,11:00:00,57
01/25/2023,01:00:00,57
01/25/2023,03:00:00,57
01/25/2023,05:00:00,57
01/25/2023,07:00:00,57
01/25/2023,09:00:00,57
01/25/2023,11:00:00,56
01/26/2023,01:00:00,57
01/26/2023,03:00:00,56
01/26/2023,05:00:00,56
01/26/2023,07:00:00,55
01/26/2023,09:00:00,58
01/26/2023,11:00:00,57
01/26/2023,01:00:00,58
01/26/2023,03:00:00,59
01/26/2023,05:00:00,57
01/26/2023,07:00:00,56
01/26/2023,09:00:00,56
01/26/2023,11:00:00,56
01/27/2023,01:00:00,56
01/27/2023,03:00:00,56
01/27/2023,05:00:00,61
01/27/2023,07:00:00,57
01/27/2023,09:00:00,57
